x50,y50,lon,lat,total_count,in_range
-1950000,3185000,-122.749194297365,49.1868671048878,0,FALSE
-2100000,3135000,-124.489391406407,48.3601320162984,0,FALSE
-2000000,3135000,-123.207339945658,48.6225827983547,0,FALSE
-1950000,3135000,-122.562442819728,48.7494891062452,0,FALSE
-1900000,3135000,-121.915024980145,48.8734874561575,0,FALSE
-1850000,3135000,-121.265128723774,48.994555393664,1,TRUE
-1800000,3135000,-120.612805474797,49.1126837672064,11,TRUE
-1750000,3135000,-119.958104358564,49.2278348396007,5,TRUE
-2100000,3085000,-124.293377787665,47.926568736824,0,FALSE
-2050000,3085000,-123.657540480218,48.0581188146871,0,FALSE
-2000000,3085000,-123.019144537295,48.186821189378,0,FALSE
-1950000,3085000,-122.378231526427,48.3126534437615,0,FALSE
-1900000,3085000,-121.734848991715,48.435596934352,0,FALSE
-1850000,3085000,-121.089036419193,48.555629878705,2,TRUE
-1800000,3085000,-120.440842673788,48.672733234681,4,TRUE
-1750000,3085000,-119.790313872131,48.7868865773491,35,TRUE
-1700000,3085000,-119.137500463454,48.8980721978474,9,TRUE
-1650000,3085000,-118.482453966982,49.0062653448723,2,TRUE
-1600000,3085000,-117.825219759276,49.1114538833663,7,TRUE
-1550000,3085000,-117.165854351124,49.213617147949,6,TRUE
-2100000,3035000,-124.099964395352,47.4934257344026,0,FALSE
-2050000,3035000,-123.467970072329,47.6238961621237,0,FALSE
-2000000,3035000,-122.833465819377,47.7515348505743,0,FALSE
-1950000,3035000,-122.196495251938,47.8763215113421,0,FALSE
-1900000,3035000,-121.557099819076,47.9982336362951,0,FALSE
-1850000,3035000,-120.915324882767,48.117254393936,0,TRUE
-1800000,3035000,-120.27121456213,48.2333626190998,7,TRUE
-1750000,3035000,-119.624814650583,48.3465402327626,8,TRUE
-1700000,3035000,-118.976175551119,48.4567680841763,4,FALSE
-1650000,3035000,-118.325346401563,48.564029742441,4,TRUE
-1600000,3035000,-117.672375597358,48.6683051194705,4,TRUE
-1550000,3035000,-117.017316446554,48.7695743758115,14,TRUE
-1500000,3035000,-116.360221072417,48.8678199767522,5,TRUE
-1450000,3035000,-115.701143087202,48.9630258969627,4,TRUE
-1400000,3035000,-115.040136094933,49.0551758980945,3,TRUE
-1350000,3035000,-114.377255928809,49.1442541785679,15,TRUE
-1300000,3035000,-113.712561201883,49.2302453010975,47,TRUE
2100000,3035000,-67.9000250105137,47.4934264776634,3,TRUE
-2100000,2985000,-123.90910482387,47.060666387882,0,FALSE
-2050000,2985000,-123.28091026409,47.1900838166437,0,FALSE
-2000000,2985000,-122.650254590656,47.3166860139761,0,FALSE
-1950000,2985000,-122.017180535465,47.4404518461417,0,FALSE
-1900000,2985000,-121.38173212877,47.5613594571599,0,FALSE
-1850000,2985000,-120.743949213934,47.6793926503527,0,TRUE
-1800000,2985000,-120.103874647752,47.7945312948367,0,TRUE
-1750000,2985000,-119.461555666864,47.9067580193303,0,TRUE
-1700000,2985000,-118.817041217104,48.0160542279665,0,FALSE
-1650000,2985000,-118.170381383063,48.1224031571419,9,TRUE
-1600000,2985000,-117.521623369245,48.2257868101742,101,TRUE
-1550000,2985000,-116.870816677498,48.3261864091953,17,TRUE
-1500000,2985000,-116.218015973647,48.4235822996474,10,TRUE
-1450000,2985000,-115.56326990492,48.5179625451974,4,TRUE
-1400000,2985000,-114.906637134378,48.6093093924158,0,TRUE
-1350000,2985000,-114.248169681455,48.6976058532625,10,TRUE
-1300000,2985000,-113.587922894349,48.7828372654218,281,TRUE
-1250000,2985000,-112.925954282071,48.8649870003599,1,TRUE
-1200000,2985000,-112.262323652943,48.9440419182307,0,FALSE
-1150000,2985000,-111.597088955517,49.0199886045093,0,FALSE
-1100000,2985000,-110.930299500929,49.092807398951,0,FALSE
-1050000,2985000,-110.262024903585,49.1624886658511,1,FALSE
-1000000,2985000,-109.592335607711,49.229020169769,0,FALSE
2000000,2985000,-69.3497434925368,47.3166834397276,4,TRUE
2050000,2985000,-68.7190892921395,47.190084100331,10,TRUE
2100000,2985000,-68.0908928553389,47.0606651056672,18,TRUE
2150000,2985000,-67.4651983439585,46.9284486236964,6,TRUE
-2150000,2935000,-124.342727144176,46.4970832553958,0,FALSE
-2100000,2935000,-123.72074659714,46.6282578399477,0,FALSE
-2050000,2935000,-123.096310401764,46.7566479632288,0,FALSE
-2000000,2935000,-122.469463838129,46.8822360983555,0,FALSE
-1950000,2935000,-121.840247928893,47.0050027689066,0,FALSE
-1900000,2935000,-121.208696652315,47.1249312186619,0,FALSE
-1850000,2935000,-120.574861976244,47.2420031643778,1,FALSE
-1800000,2935000,-119.938776625044,47.3561976198011,0,FALSE
-1750000,2935000,-119.300492293375,47.4674979216647,0,FALSE
-1700000,2935000,-118.660055990516,47.5758863711073,0,FALSE
-1650000,2935000,-118.017514067676,47.68134777365,25,TRUE
-1600000,2935000,-117.372920136676,47.7838610764382,85,TRUE
-1550000,2935000,-116.726314268227,47.8834122922538,29,TRUE
-1500000,2935000,-116.077755087246,47.9799818698788,6,TRUE
-1450000,2935000,-115.427287835665,48.0735557608927,1,TRUE
-1400000,2935000,-114.774974410224,48.1641173770118,3,TRUE
-1350000,2935000,-114.120865028685,48.2516520248398,10,TRUE
-1300000,2935000,-113.465009639246,48.3361436908319,71,TRUE
-1250000,2935000,-112.807466634735,48.4175783877576,1,TRUE
-1200000,2935000,-112.14829449756,48.4959417518997,0,FALSE
